time,isomer_view,confusor_view,table_view,UI_view,total_frame,isomer_grab,confusor_grab,success_count,failure_count,x,y,z,alpha,beta,gamma
1770.561,0,0,0,80,80,0,0,0,0,4.996826,14.58982,37.29704,342.5013,182.7076,359.7475
1770.575,0,0,0,81,81,0,0,0,0,4.996459,14.59008,37.29916,342.0469,183.1919,359.8204
1770.588,0,0,0,81,82,0,0,0,0,4.996034,14.59036,37.30127,341.598,183.6521,359.9145
1770.603,0,0,0,81,83,0,0,0,0,4.995623,14.59063,37.3033,341.1351,184.134,359.9901
1770.617,0,0,0,81,84,0,0,0,0,4.99522,14.59088,37.30531,340.669,184.6356,0.03128391
1770.63,0,0,0,81,85,0,0,0,0,4.994762,14.59106,37.30733,340.1976,185.1083,0.05803121
1770.644,0,0,0,81,86,0,0,0,0,4.994335,14.59121,37.30933,339.6883,185.5914,0.09243394
1770.658,0,0,0,81,87,0,0,0,0,4.993825,14.59125,37.31133,339.111,186.0888,0.1454681
1770.672,0,0,0,81,88,0,0,0,0,4.993329,14.5912,37.31332,338.4918,186.6025,0.1927959
1770.686,0,0,0,81,89,0,0,0,0,4.992907,14.59098,37.31527,337.8804,187.1074,0.2114444
1770.7,0,0,0,81,90,0,0,0,0,4.992537,14.59087,37.3174,337.3532,187.5661,0.171304
1770.714,0,0,0,81,91,0,0,0,0,4.992201,14.59079,37.31956,336.8246,188.007,0.1236502
1770.727,0,0,0,81,92,0,0,0,0,4.991898,14.59069,37.32172,336.2931,188.452,0.1190079
1770.742,0,0,0,81,93,0,0,0,0,4.991624,14.59054,37.32391,335.7688,188.8687,0.09083094
1770.756,0,0,0,81,94,0,0,0,0,4.991546,14.5904,37.32611,335.3168,189.2831,0.04010068
1770.769,0,0,0,81,95,0,0,0,0,4.99151,14.59017,37.32832,334.8618,189.6782,359.9829
1770.784,0,0,0,81,96,0,0,0,0,4.991539,14.59002,37.33059,334.4802,190.0085,359.9922
1770.798,0,0,0,81,97,0,0,0,0,4.991678,14.58999,37.33288,334.084,190.3086,0.07990117
1770.811,0,0,0,81,98,0,0,0,0,4.992001,14.59016,37.33522,333.7245,190.5585,0.1807406
1770.826,0,0,0,81,99,0,0,0,0,4.992438,14.59032,37.3375,333.2538,190.7423,0.2684792
1770.84,0,0,0,81,100,0,0,0,0,4.99302,14.59045,37.33975,332.7203,190.9097,0.3347643
1770.853,0,0,0,81,101,0,0,0,0,4.99369,14.59052,37.34213,332.1753,191.0449,0.3799475
1770.867,0,0,0,81,102,0,0,0,0,4.994487,14.59052,37.3445,331.6182,191.1577,0.4014388
1770.881,0,0,0,81,103,0,0,0,0,4.995331,14.59035,37.34682,331.0761,191.2275,0.4517756
1770.895,0,0,0,81,104,0,0,0,0,4.996313,14.59015,37.34919,330.5756,191.3126,0.4638098
1770.909,0,0,0,81,105,0,0,0,0,4.997333,14.58986,37.3516,330.1271,191.401,0.4273669
1770.923,0,0,0,81,106,0,0,0,0,4.998536,14.58951,37.35392,329.7159,191.5201,0.3608046
1770.937,0,0,0,81,107,0,0,0,0,4.99984,14.58919,37.35623,329.3477,191.6195,0.3282514
1770.95,0,0,0,81,108,0,0,0,0,5.001202,14.58888,37.35852,328.957,191.6396,0.3255593
1770.965,0,0,0,81,109,0,0,0,0,5.002634,14.58856,37.36074,328.5588,191.6231,0.3339555
1770.979,0,0,0,81,110,0,0,0,0,5.004077,14.58816,37.36288,328.1981,191.5961,0.3638784
1770.993,0,0,0,81,111,0,0,0,0,5.005575,14.58765,37.36492,327.8933,191.5718,0.3968365
1771.008,0,0,0,81,112,0,0,0,0,5.007208,14.587,37.3669,327.6752,191.5158,0.4346175
1771.021,0,0,0,81,113,0,0,0,0,5.008981,14.58634,37.36872,327.5387,191.3662,0.4563352
1771.034,0,0,0,81,114,0,0,0,0,5.010879,14.58578,37.37045,327.408,191.0538,0.4924967
1771.048,0,0,0,81,115,0,0,0,0,5.012745,14.58523,37.37204,327.2832,190.6317,0.6409642
1771.062,0,0,0,81,116,0,0,0,0,5.014698,14.58482,37.37357,327.2226,190.1293,0.8393378
1771.077,0,0,0,81,117,0,0,0,0,5.016629,14.58434,37.37492,327.1841,189.5355,1.112698
1771.09,0,0,0,81,118,0,0,0,0,5.018602,14.58379,37.37617,327.2141,188.8531,1.420798
1771.104,0,0,0,81,119,0,0,0,0,5.020591,14.58314,37.37736,327.3422,188.0959,1.691862
1771.118,0,0,0,81,120,0,0,0,0,5.022545,14.58244,37.37846,327.5611,187.3332,1.899653
1771.132,0,0,0,81,121,0,0,0,0,5.024514,14.58174,37.37941,327.8429,186.5995,2.081913
1771.146,0,0,0,81,122,0,0,0,0,5.026409,14.58106,37.38029,328.168,185.8179,2.235081
1771.16,0,0,0,81,123,0,0,0,0,5.028321,14.58054,37.38117,328.509,184.9798,2.378819
1771.174,0,0,0,81,124,0,0,0,0,5.030151,14.58022,37.38203,328.8314,184.1418,2.594889
1771.188,0,0,0,81,125,0,0,0,0,5.031898,14.57985,37.38276,329.1251,183.3605,2.814781
1771.202,0,0,0,81,126,0,0,0,0,5.033663,14.57938,37.38342,329.4262,182.6011,2.917627
1771.216,0,0,0,81,127,0,0,0,0,5.035438,14.57859,37.38388,329.7356,181.7936,2.947548
1771.229,0,0,0,81,128,0,0,0,0,5.037221,14.57773,37.3844,330.1939,180.953,2.923255
1771.244,0,0,0,81,129,0,0,0,0,5.038884,14.57704,37.38504,330.7419,180.0834,2.899144
1771.258,0,0,0,81,130,0,0,0,0,5.040539,14.57658,37.38572,331.2735,179.2033,2.81846
1771.271,0,0,0,81,131,0,0,0,0,5.042209,14.57606,37.3862,331.692,178.2777,2.754282
1771.286,0,0,0,81,132,0,0,0,0,5.043844,14.57562,37.38664,332.0364,177.304,2.706154
1771.299,0,0,0,81,133,0,0,0,0,5.045335,14.57506,37.38707,332.2861,176.2998,2.732068
1771.313,0,0,0,81,134,0,0,0,0,5.046767,14.5745,37.38743,332.4631,175.3226,2.690709
1771.327,0,0,0,81,135,0,0,0,0,5.048108,14.5741,37.38794,332.7113,174.3508,2.689231
1771.341,0,0,0,81,136,0,0,0,0,5.049447,14.57374,37.38832,332.9294,173.4155,2.677574
1771.355,0,0,0,81,137,0,0,0,0,5.05062,14.57354,37.38879,333.1717,172.4808,2.645129
1771.369,0,0,0,81,138,0,0,0,0,5.051726,14.57337,37.38924,333.308,171.6252,2.567235
1771.383,0,0,0,81,139,0,0,0,0,5.052616,14.57304,37.38964,333.3948,170.8103,2.517405
1771.397,0,0,0,81,140,0,0,0,0,5.053354,14.57246,37.39011,333.5011,169.9924,2.501153
1771.41,0,0,0,81,141,0,0,0,0,5.054034,14.57161,37.39057,333.7229,169.1912,2.48219
1771.425,0,0,0,81,142,0,0,0,0,5.054581,14.57071,37.39117,334.1369,168.3873,2.467262
1771.439,0,0,0,81,143,0,0,0,0,5.055021,14.5698,37.39179,334.6291,167.5974,2.38101
1771.452,0,0,0,81,144,0,0,0,0,5.055243,14.56914,37.3925,335.0989,166.8805,2.135881
1771.466,0,0,0,81,145,0,0,0,0,5.055238,14.56837,37.39302,335.4235,166.2837,1.906736
1771.48,0,0,0,81,146,0,0,0,0,5.054993,14.56735,37.39346,335.7216,165.7539,1.703325
1771.495,0,0,0,81,147,0,0,0,0,5.054652,14.56609,37.3939,336.1298,165.3232,1.498711
1771.508,0,0,0,81,148,0,0,0,0,5.054181,14.56468,37.39438,336.6953,164.9255,1.307558
1771.522,0,0,0,81,149,0,0,0,0,5.053588,14.56328,37.39491,337.3167,164.5821,1.041336
1771.536,0,0,0,81,150,0,0,0,0,5.052867,14.56215,37.39544,337.9208,164.324,0.6677833
1771.549,0,0,0,81,151,0,0,0,0,5.052005,14.56109,37.39594,338.4274,164.0516,0.3120849
1771.564,0,0,0,81,152,0,0,0,0,5.051136,14.56003,37.39644,338.8499,163.7877,359.9853
1771.578,0,0,0,81,153,0,0,0,0,5.050231,14.55886,37.39696,339.2834,163.4897,359.7643
1771.591,0,0,0,81,154,0,0,0,0,5.049331,14.55755,37.39749,339.7759,163.1896,359.5845
1771.606,0,0,0,81,155,0,0,0,0,5.048338,14.55637,37.3982,340.3326,162.8418,359.4738
1771.62,0,0,0,81,156,0,0,0,0,5.047463,14.5554,37.39889,340.7903,162.4037,359.444
1771.633,0,0,0,81,157,0,0,0,0,5.046584,14.55463,37.39965,341.1068,161.8602,359.3794
1771.648,0,0,0,81,158,0,0,0,0,5.045702,14.55414,37.40057,341.3201,161.2571,359.1883
1771.662,0,0,0,81,159,0,0,0,0,5.044696,14.55357,37.40147,341.4475,160.7162,358.8613
1771.676,0,0,0,81,160,0,0,0,0,5.043579,14.55284,37.40234,341.6174,160.2941,358.4782
1771.689,0,0,0,81,161,0,0,0,0,5.042338,14.55194,37.40321,341.8693,159.9315,358.1592
